name,id,shortDesc,actions,castType,sourceBook,PFSnote,levelreq,traditions/0,traditions/1,traditions/2,traditions/3,traits/0,traits/1,traits/2,traits/3,traits/4,traits/5,traits/6,traits/7,cost,inputRequired,internalNote,range,area,targets,target,singleTarget,allowReturnFocusPoint,requirements,trigger,sustained,duration,desc,savingThrow,critsuccess,success,failure,critfailure,showSpells/0/level,showSpells/0/name,heightened/0/desc,heightened/0/level,heightened/1/desc,heightened/1/level,heightened/2/desc,heightened/2/level,heightened/3/desc,heightened/3/level,heightened/4/desc,heightened/4/level,heightened/5/desc,heightened/5/level,heightened/6/desc,heightened/6/level,heightened/7/desc,heightened/7/level,heightened/8/desc,heightened/8/level,gainConditions/0/duration,gainConditions/0/heightenedFilter,gainConditions/0/name,gainConditions/0/source,gainConditions/0/targetFilter,gainConditions/0/value,gainConditions/1/duration,gainConditions/1/heightenedFilter,gainConditions/1/name,gainConditions/1/source,gainConditions/1/targetFilter,gainConditions/1/value,gainConditions/2/duration,gainConditions/2/heightenedFilter,gainConditions/2/name,gainConditions/2/source,gainConditions/2/targetFilter,gainConditions/2/value,gainConditions/3/duration,gainConditions/3/heightenedFilter,gainConditions/3/name,gainConditions/3/source,gainConditions/3/targetFilter,gainConditions/3/value,gainConditions/4/duration,gainConditions/4/heightenedFilter,gainConditions/4/name,gainConditions/4/source,gainConditions/4/value,gainConditions/5/duration,gainConditions/5/heightenedFilter,gainConditions/5/name,gainConditions/5/source,gainConditions/5/value,gainItems/0/expiration,gainItems/0/heightenedFilter,gainItems/0/name,gainItems/0/type,gainItems/1/expiration,gainItems/1/heightenedFilter,gainItems/1/name,gainItems/1/type,gainItems/2/expiration,gainItems/2/heightenedFilter,gainItems/2/name,gainItems/2/type,gainItems/3/expiration,gainItems/3/heightenedFilter,gainItems/3/name,gainItems/3/type,gainItems/4/expiration,gainItems/4/heightenedFilter,gainItems/4/name,gainItems/4/type,desc1/0/value,desc1/0/variable,desc1/1/value,desc1/1/variable,desc1/2/value,desc1/2/variable,desc2/0/value,desc2/0/variable,desc2/1/value,desc2/1/variable,desc2/2/value,desc2/2/variable,desc2/3/value,desc2/3/variable,desc2/4/value,desc2/4/variable,desc2/5/value,desc2/5/variable,desc2/6/value,desc2/6/variable,desc2/7/value,desc2/7/variable,desc2/8/value,desc2/8/variable,desc3/0/value,desc3/0/variable,desc3/1/value,desc3/1/variable,desc3/2/value,desc3/2/variable,desc3/3/value,desc3/3/variable,desc3/4/value,desc3/4/variable,desc3/5/value,desc3/5/variable,desc3/6/value,desc3/6/variable,desc3/7/value,desc3/7/variable,desc3/8/value,desc3/8/variable,desc4/0/value,desc4/0/variable,desc4/1/value,desc4/1/variable,desc4/2/value,desc4/2/variable,desc4/3/value,desc4/3/variable,desc4/4/value,desc4/4/variable,desc4/5/value,desc4/5/variable,desc4/6/value,desc4/6/variable,desc4/7/value,desc4/7/variable,desc4/8/value,desc4/8/variable,desc4/9/value,desc4/9/variable,desc4/10/value,desc4/10/variable,desc4/11/value,desc4/11/variable,desc5/0/value,desc5/0/variable,desc5/1/value,desc5/1/variable,desc5/2/value,desc5/2/variable,desc5/3/value,desc5/3/variable,desc5/4/value,desc5/4/variable,desc5/5/value,desc5/5/variable,desc5/6/value,desc5/6/variable,desc5/7/value,desc5/7/variable,desc5/8/value,desc5/8/variable,desc5/9/value,desc5/9/variable,desc5/10/value,desc5/10/variable,desc5/11/value,desc5/11/variable,desc6/0/value,desc6/0/variable,desc6/1/value,desc6/1/variable,desc6/2/value,desc6/2/variable,desc6/3/value,desc6/3/variable,desc6/4/value,desc6/4/variable,desc6/5/value,desc6/5/variable,desc6/6/value,desc6/6/variable,desc6/7/value,desc6/7/variable,desc6/8/value,desc6/8/variable,desc6/9/value,desc6/9/variable,desc6/10/value,desc6/10/variable,desc7/0/value,desc7/0/variable,desc7/1/value,desc7/1/variable,desc7/2/value,desc7/2/variable,desc7/3/value,desc7/3/variable,desc7/4/value,desc7/4/variable,desc7/5/value,desc7/5/variable,desc7/6/value,desc7/6/variable,desc7/7/value,desc7/7/variable,desc7/8/value,desc7/8/variable,desc7/9/value,desc7/9/variable,desc7/10/value,desc7/10/variable,desc7/11/value,desc7/11/variable,desc8/0/value,desc8/0/variable,desc8/1/value,desc8/1/variable,desc8/2/value,desc8/2/variable,desc8/3/value,desc8/3/variable,desc9/0/value,desc9/0/variable,desc9/1/value,desc9/1/variable,desc9/2/value,desc9/2/variable,desc9/3/value,desc9/3/variable,desc10/0/value,desc10/0/variable,desc10/1/value,desc10/1/variable,desc10/2/value,desc10/2/variable,desc10/3/value,desc10/3/variable
Fire Shield,29ee9c56-9122-11ea-bb37-0242ac130002,Flames protect you from cold and harm those that touch you.,2A,"somatic, verbal",,,4,Arcane,Primal,,,Evocation,Fire,,,,,,,,,,,,,self,,,,,,1 minute,"You wreathe yourself in ghostly flames, gaining cold resistance <var>var1</var>. Additionally, adjacent creatures that hit you with a melee attack, as well as creatures that touch you or hit you with an unarmed attack, take <var>var2</var> fire damage each time they do.",,,,,,,,"The cold resistance increases by 5, and the fire damage increases by 1d6.",(+2),,,,,,,,,,,,,,,,,100,,Fire Shield,Fire Shield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,var1,2d6,var2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,var1,3d6,var2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,var1,4d6,var2,,,,,,,,,,,,,20,var1,5d6,var2,,,,
Fly,29ee9d0a-9122-11ea-bb37-0242ac130002,Cause the target creature to gain a fly Speed.,2A,"somatic, verbal",,,4,Arcane,Occult,Primal,,Transmutation,,,,,,,,,,,touch,,1 creature,ally,TRUE,,,,,5 minutes,"<var>var1</var>The target can soar through the air, gaining a fly Speed equal to its Speed or 20 feet, whichever is greater.",,,,,,,,The duration increases to 1 hour.,(7th),,,,,,,,,,,,,,,,,500,4,Fly,Fly,,,6000,7,Fly,Fly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The duration increases to 1 hour. ,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forgotten Lines,7ae2308f-e366-46b6-8e50-29e4cf592607,Restore destroyed or censored text.,2A,"somatic, verbal",Pathfinder #147: Tomorrow Must Burn,,4,Arcane,Divine,Occult,,Rare,Divination,,,,,,,,,,touch,,1 text or remnants thereof,,TRUE,,,,,,"Members of the Lacunafex and other allies use this spell to restore material that Thrune agents have redacted from historical or otherwise valuable texts. You learn <var>var1</var> that was removed from the target text after its creation. You can instead learn <var>var2</var> from a text that had been destroyed, but you must have a fragment of the text, such as a piece of the cover, a page, or even a clasp or metal fittings.",,,,,,,,The spell reconstructs all missing information regarding a specific topic of your choice.,(6th),The spell also reveals information the writer self-censored and didn�t commit to paper.,(9th),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,one piece of information,var1,one piece of information,var2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all missing information regarding a specific topic of your choice,var1,the same amount of information,var2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"all missing information regarding a specific topic of your choice, inluding information the writer self-censored and didn�t commit to paper",var1,the same amount of information,var2,,,,,,,,,,,,
Freedom of Movement,29ee9dc8-9122-11ea-bb37-0242ac130002,A creature overcomes hindrances to its movement.,2A,"somatic, verbal",,,4,Arcane,Divine,Primal,,Abjuration,,,,,,,,,,,touch,,1 creature touched,ally,TRUE,,,,,10 minutes,"You repel effects that would hinder a creature or slow its movement. While under this spell's effect, the target ignores effects that would give them a circumstance penalty to Speed. When they attempt to Escape an effect that has them immobilized, grabbed, or restrained, they automatically succeed unless the effect is magical and of a higher level than the freedom of movement spell.",,,,,,,,,,,,,,,,,,,,,,,,,,1000,,Freedom of Movement,Freedom of Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaseous Form,29ee9e86-9122-11ea-bb37-0242ac130002,Turn a willing creature into a flying cloud.,2A,"somatic, verbal",,,4,Arcane,Occult,Primal,,Polymorph,Transmutation,,,,,,,,,,touch,,1 willing creature,ally,TRUE,,,,,5 minutes,"The target transforms into a vaporous state. In this state, the target is amorphous and loses any item bonus to AC. It gains resistance 8 to physical damage and is immune to precision damage. It can't cast spells, activate items, or use actions that have the attack or manipulate trait. It gains a fly Speed of 10 feet and can slip through tiny cracks. The target can Dismiss the spell.",,,,,,,,,,,,,,,,,,,,,,,,,,500,,Gaseous Form,Gaseous Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glibness,29ee9f44-9122-11ea-bb37-0242ac130002,Lie with impunity.,2A,"somatic, verbal",,,4,Occult,,,,Uncommon,Enchantment,Mental,,,,,,,,,,,,self,,,,,,10 minutes,"Falsehoods pass your lips as smoothly as silk. You gain a +4 status bonus to Deception checks to Lie and against Perception checks to discern if you are telling the truth, and you add your level even if you're untrained. If the implausibility of your lies prompts a circumstance penalty or a DC increase, reduce that penalty or increase by half.",,,,,,,,,,,,,,,,,,,,,,,,,,1000,,Glibness,Glibness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globe of Invulnerability,29eea002-9122-11ea-bb37-0242ac130002,Magical sphere counteracts spells that would enter it.,2A,"somatic, verbal",,,4,Arcane,Occult,Divine,,Uncommon,Abjuration,,,,,,,,,,,10-foot burst centered on one corner of your space,,self,,,,,,,"You create an immobile globe around yourself that attempts to counteract any spell from outside the globe whose area or targets enter into the globe, as if the globe were a dispel magic spell 1 level lower than its actual spell level. If the counteract attempt succeeds, it prevents only the portion of the spell that would have entered the globe (so if the spell also has targets outside the globe, or part of its area is beyond the globe, those targets or that area is affected normally). You must form the sphere in an unbroken open space, so its edges don't pass through any creatures or objects, or the spell is lost (though creatures can enter the globe after the spell is cast).",,,,,,,,,,,,,,,,,,,,,,,,,,1000,,Globe of Invulnerability,Globe of Invulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hallucinatory Terrain,29eea28c-9122-11ea-bb37-0242ac130002,A natural environment appears to be another kind of terrain.,10 minutes,"material, somatic, verbal",,,4,Arcane,Occult,Primal,,Uncommon,Illusion,,,,,,,,,,500 feet,50-foot burst,,,,,,,,until the next time you make your daily preparations,"You create an illusion that causes natural terrain to look, sound, feel, and smell like a different kind of terrain. This<var>var1</var> doesn't disguise any structures or creatures in the area.

Any creature that touches the illusion or uses the Seek action to examine it can attempt to disbelieve your illusion.",,,,,,,,,,,,,,,,,,,,,,,,,,-2,4,Hallucinatory Terrain (4th Level),Hallucinatory Terrain,caster,,-2,5,Hallucinatory Terrain (5th Level),Hallucinatory Terrain,caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,var1,,,,,,,,,,,,,,,,,,,,,,," can disguise structures or create illusory structures, but",var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Cascade,29eea35e-9122-11ea-bb37-0242ac130002,Turn a vial of holy water into an explosion of blessed water.,2A,"somatic, verbal",,,4,Divine,,,,Evocation,Good,Positive,Water,,,,,one vial of holy water,,,500 feet,20-foot burst,,,,,,,,,"You call upon sacred energy to amplify a vial of holy water, tossing it an incredible distance. It explodes in an enormous burst that deals <var>var1</var> bludgeoning damage to creatures in the area from the cascade of water. The water deals an additional <var>var2</var> positive damage to undead and <var>var2</var> good damage to fiends.",basic Reflex,,,,,,,"The bludgeoning damage increases by 1d6, and the additional positive and good damage each increase by 2d6.",(+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d6,var1,6d6,var2,,,,,,,,,,,,,,,,,,,,,4d6,var1,8d6,var2,,,,,,,,,,,,,,,,,,,,,5d6,var1,10d6,var2,,,,,,,,,,,,,,,,,,,6d6,var1,12d6,var2,,,,,,,,,,,,,,,,,,,,,7d6,var1,14d6,var2,,,,,8d6,var1,16d6,var2,,,,,9d6,var1,18d6,var2,,,,
Hydraulic Torrent,29eea41c-9122-11ea-bb37-0242ac130002,Force creatures back with a damaging line of water.,2A,"somatic, verbal",,,4,Primal,,,,Evocation,Water,,,,,,,,,,,60-foot line,,,,,,,,,"A swirling torrent of water manifests along a straight line, battering those that are its path and possibly pushing them away from you. The torrent deals <var>var1</var> bludgeoning damage. Each creature in the area must attempt a basic Fortitude save. Creatures that fail the save are also knocked back 5 feet (10 feet on a critical failure).",Fortitude,,,,,,,The damage increases by 2d6.,(+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8d6,var1,,,,,,,,,,,,,,,,,,,,,,,10d6,var1,,,,,,,,,,,,,,,,,,,,,,,12d6,var1,,,,,,,,,,,,,,,,,,,,,14d6,var1,,,,,,,,,,,,,,,,,,,,,,,16d6,var1,,,,,,,18d6,var1,,,,,,,20d6,var1,,,,,,
Modify Memory,29eea4da-9122-11ea-bb37-0242ac130002,Change or implant memories.,2A,"somatic, verbal",,,4,Occult,,,,Uncommon,Divination,Mental,,,,,,,,,30 feet,,1 creature,,TRUE,,,,,unlimited,"You alter the target's memories, either erasing a memory, enhancing a memory's clarity, altering a memory, or adding a false memory. <var>var1</var>The target can attempt a Will save to resist the spell.",Will,The target is unaffected and realizes you tried to alter its memory.,"The target is unaffected but thinks your spell was something harmless instead of modify memory, unless it identifies the spell.","During the first 5 minutes of the spell's duration, you can Sustain the Spell to modify a memory once each round. When you do, you imagine up to 6 seconds of memory to modify, to a maximum of 5 continuous minutes of memory.

Any memories you've altered remain changed as long as the spell is active. If the target moves out of range before the 5 minutes is up, you can't alter any further memories.",,,,"You can cast the spell on a willing target to suppress all memory of a particular topic, detailed in 50 words or fewer. The effect is permanent, and it patches these omissions with an indistinct haze.",(6th),,,,,,,,,,,,,,,,,500,,Modify Memory,Modify Memory,caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"You can cast the spell on a willing target to suppress all memory of a particular topic, detailed in 50 words or fewer. The effect is permanent, and it patches these omissions with an indistinct haze. ",var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necrotic Radiation,9799d806-95d9-4279-934d-d1aa3d97327a,You imbue the touched object or space with slow-acting necrotic radiation.,2A,"material, somatic",Pathfinder #154: Siege of the Dinosaurs,,4,,,,,,,,,,,,,,,,touch,,one object or one 10-foot-square area,,TRUE,,,,,24 hours,"You imbue the touched object or space with slow-acting necrotic radiation. If you cast the spell on an object, any creature ending its turn holding or carrying the object takes <var>var1</var> negative damage. If you cast the spell on an area, any creature ending its turn in the area takes <var>var1</var> negative damage. You can attempt to use this spell on an attended object by touching the object. If you do, the creature attempts a Reflex save to reduce the effect.",,The object is unaffected.,The creature pulls the object away quickly. The spell only lasts 1 minute.,The creature manages to slightly protect the object. The spell lasts 10 minutes.,The spell lasts the full 24 hours.,,,Increase the radiation's negative damage by 1d6,(+2),,,,,,,,,,,,,,,,,144000,,Necrotic Radiation,Necrotic Radiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d6,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4d6,var1,,,,,,,,,,,,,,,5d6,var1,,,,,,
Nightmare,29eea598-9122-11ea-bb37-0242ac130002,Plague a creature's dreams with disturbing nightmares.,10 minutes,"material, somatic, verbal",,,4,Arcane,Occult,,,Illusion,Mental,,,,,,,,,,planetary,,1 creature you know by name,,TRUE,,,,,1 day,"You send disturbing nightmares to your target. The next time the target falls asleep, it must attempt a Will save. If you know the target only by name and have never met them, the target gets a +4 circumstance bonus to the Will save.",Will,The target suffers no adverse effects and is temporarily immune for 1 week.,The target experiences the nightmares but suffers no adverse effects other than unpleasant memories.,The target experiences the nightmares and awakens fatigued.,"The target experiences the nightmares, awakens fatigued, and is drained 2 until it is no longer fatigued.",,,,,,,,,,,,,,,,,,,,,144000,,Nightmare (Caster),Nightmare,caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcast's Curse,29eea656-9122-11ea-bb37-0242ac130002,Curse a creature to be off-putting and grating.,2A,"somatic, verbal",,,4,Arcane,Occult,Divine,,Curse,Enchantment,Mental,Misfortune,,,,,,,,touch,,1 creature,,TRUE,,,,,,You afflict the target with a curse that makes its presence abrasive and off -putting. The target must attempt a Will save.,Will,The target is unaffected.,"For 10 minutes, the target must roll twice and use the worse result whenever attempting a Deception, Diplomacy, Intimidation, or Performance check, and creatures they encounter have an initial attitude toward them of one step worse (for instance, unfriendly instead of indifferent).","As success, but the effect is permanent.","As failure, and creatures that the target encounters have an initial attitude toward them of two steps worse.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantasmal Killer,29eea714-9122-11ea-bb37-0242ac130002,Place a fearsome image in a creature's mind to scare and possibly kill it.,2A,"somatic, verbal",,,4,Arcane,Occult,,,Death,Emotion,Fear,Illusion,Mental,,,,,,,120 feet,,1 living creature,,TRUE,,,,,,"You create a phantasmal image of the most fearsome creature imaginable to the target. Only the spell's target can see the killer, though you can see the vague shape of the illusion as it races forth to attack. The effect of the killer is based on the outcome of the target's Will save.",Will,The target is unaffected.,The target takes 4d6 mental damage and is frightened 1.,The target takes <var>var1</var> mental damage and is frightened 2.,"The target is so afraid it might die. It must attempt a Fortitude save; if the target fails, it dies. On a successful Fortitude save, the target takes <var>var2</var> mental damage, is fleeing until the end of its next turn, and is frightened 4. This effect has the incapacitation trait.",,,The damage increases by 2d6 on a failure and by 3d6 on a critical failure.,(+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8d6,var1,12d6,var2,,,,,,,,,,,,,,,,,,,,,10d6,var1,15d6,var2,,,,,,,,,,,,,,,,,,,,,12d6,var1,18d6,var2,,,,,,,,,,,,,,,,,,,14d6,var1,21d6,var2,,,,,,,,,,,,,,,,,,,,,16d6,var1,24d6,var2,,,,,18d6,var1,27d6,var2,,,,,20d6,var1,30d6,var2,,,,
Private Sanctum,29eea7d2-9122-11ea-bb37-0242ac130002,"Black fog prevents sensing, scrying, and mind-reading on anyone within.",10 minutes,"material, somatic, verbal",,,4,Arcane,Occult,,,Uncommon,Abjuration,,,,,,,,,,touch,100-foot burst,,,,,,,,24 hours,"From outside, the area looks like a bank of impenetrable black fog. Sensory stimuli (such as sounds, smells, and light) don't pass from inside the area to outside the area. Scrying spells can't perceive any stimuli from the area, and mind-reading effects don't work in the area.",,,,,,,,,,,,,,,,,,,,,,,,,,144000,,Private Sanctum,Private Sanctum,caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read Omens,29eeaa52-9122-11ea-bb37-0242ac130002,Get a piece of advice about an upcoming event.,10 minutes,"material, somatic, verbal",,,4,Occult,Divine,,,Uncommon,Divination,Prediction,,,,,,,,,,,,self,,,,,,,"You peek into the future. Choose a particular goal, event, or activity that will occur within 1 week. You learn a cryptic clue or piece of advice that could help with the chosen event, often in the form of a rhyme or omen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebounding Barrier,3259eebd-ba45-4af7-83b9-7ae0d86e1610,"You swiftly raise a reflective barrier, reducing physical damage and rebounding it onto your attacker.",Reaction,verbal,Legends,,4,Arcane,Occult,,,Rare,Animation,,,,,,,,,,,,,,,,,You are hit by a physical Strike.,,,"You swiftly raise a reflective barrier, reducing physical damage and rebounding it onto your attacker. You gain resistance <var>var1</var> against one physical damage type the triggering attack deals. Your attacker takes <var>var2</var> damage of the same type.",,,,,,,,The resistance increases by 2. Damage dealt to your attacker increases by 1.,(+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,var1,5,var2,,,,,,,,,,,,,,,,,,,,,12,var1,6,var2,,,,,,,,,,,,,,,,,,,,,14,var1,7,var2,,,,,,,,,,,,,,,,,,,16,var1,8,var2,,,,,,,,,,,,,,,,,,,,,18,var1,9,var2,,,,,20,var1,10,var2,,,,,22,var1,11,var2,,,,
Reflective Scales,29eeab1a-9122-11ea-bb37-0242ac130002,You grow a set of colored glowing scales or scaled armor that stores energy before releasing it in a final burst.,2A,"somatic, verbal",Gods & Magic,,4,Arcane,Primal,,,Abjuration,,,,,,,,,,,,,,self,,,,,,1 minute,"You grow a set of colored glowing scales or scaled armor that stores energy before releasing it in a final burst. When you cast this spell, choose acid, cold, fire, electricity, or poison damage. You gain resistance <var>var1</var> against that type of damage. The scales� color depends on the damage type you chose and is usually the color of a type of dragon or other creature associated with that damage type, such as red or gold for fire damage.

The scales store up energy as they protect you. Keep track of how much damage the scales have prevented. As a 2-action activity that has the concentrate and manipulate traits, you can explode your scales outward in a 20-foot radius around you, dealing 1d6 damage of the chosen type to all creatures in the area for every 10 damage the scales have prevented, to a maximum of <var>var2</var> damage (after preventing <var>var3</var> damage). Once you do so, the spell ends.",,,,,,,,The resistance increases by 5 and the maximum damage from the scale explosion increases by 5d6.,(+2),,,,,,,,,,,,,,,,,100,,Reflective Scales,Reflective Scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,var1,10d6,var2,100,var3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,var1,15d6,var2,150,var3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,var1,20d6,var2,200,var3,,,,,,,,,,,20,var1,25d6,var2,250,var3,,
Remove Curse,29eeac5a-9122-11ea-bb37-0242ac130002,Counteract a curse afflicting a creature.,10 minutes,"material, somatic, verbal",,,4,Occult,Divine,,,Healing,Necromancy,,,,,,,,"You attempt to counteract one curse afflicting the target. If the curse comes from a cursed item or other external source, a success indicates that the target creature can rid itself of the cursed item, but it doesn't remove the curse from the item.",,touch,,1 creature,ally,TRUE,,,,,,"Your touch grants a reprieve to a cursed creature. You attempt to counteract one curse afflicting the target. If the curse comes from a cursed item or other external source, a success indicates that the target creature can rid itself of the cursed item, but it doesn't remove the curse from the item.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
